,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,42.72,72.22,90.53,117.49,142.91,158.17,172.92,187.16,193.26,197.33,199.36,206.48,196.32,199.87,194.27,193.76,196.32,198.86,191.73,192.75,183.09,178.0,169.87,164.78,153.08,141.38,128.67,123.08,98.15,79.34,61.03,45.77,35.09,27.47,19.32,4982.04
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,40.73,64.99,87.29,120.26,133.85,151.79,168.28,177.98,186.22,189.13,193.98,193.98,193.01,193.98,193.01,189.13,191.55,194.46,192.04,183.8,170.22,167.31,161.48,145.48,137.73,123.66,112.51,104.75,86.8,75.65,65.47,47.52,35.4,28.13,20.37,4748.65
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.97,31.29,51.88,70.49,93.06,102.96,119.59,134.63,146.51,151.66,161.17,166.32,163.14,161.57,163.94,153.25,158.39,151.66,148.1,143.75,137.01,131.47,130.68,120.78,118.4,108.9,108.5,100.97,95.83,81.97,68.11,54.26,41.98,30.49,23.36,17.03,3866.08
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53,22.28,36.3,52.47,68.28,81.58,91.99,104.57,114.28,120.75,130.45,138.0,139.08,138.72,139.79,132.6,140.15,133.33,136.92,130.09,130.81,125.78,119.31,117.16,122.19,119.67,120.39,110.69,106.01,101.35,88.77,69.0,46.0,32.34,24.44,16.89,3518.97
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12,38.88,64.63,86.7,115.59,133.98,157.1,170.23,187.04,189.68,205.43,200.18,202.28,200.18,204.38,201.23,204.38,199.13,200.18,201.76,198.61,189.15,188.1,179.69,173.91,162.88,157.1,144.49,135.56,118.75,93.52,77.76,63.05,42.56,31.0,23.65,5165.85
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.81,45.2,72.92,92.44,121.72,142.78,157.67,179.24,186.43,199.79,205.95,201.33,205.95,205.95,204.41,200.81,202.35,194.64,193.1,193.1,185.91,182.83,174.11,166.41,163.31,148.43,141.75,126.85,117.1,107.34,86.8,67.79,48.28,35.44,26.19,17.47,5032.59
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.49,42.49,67.97,86.47,117.46,138.46,152.94,166.44,181.94,190.94,189.94,191.44,199.93,196.43,197.93,194.93,194.44,194.93,193.44,199.93,191.94,184.44,176.94,165.44,158.44,144.95,140.96,127.46,120.46,95.97,80.97,59.98,45.99,34.99,24.99,18.5,4899.35
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.08,42.12,71.2,89.24,115.81,140.88,155.93,170.46,184.5,190.52,194.53,196.53,203.55,193.53,197.03,191.52,191.02,193.53,196.03,189.02,190.02,180.49,175.47,167.45,162.44,150.91,139.38,126.85,121.33,96.76,78.21,60.16,45.13,34.59,27.07,19.05,4911.33
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.41,41.88,66.8,89.73,123.62,137.58,156.02,172.98,182.94,191.41,194.4,199.39,199.39,198.4,199.39,198.4,194.4,196.9,199.89,197.4,188.92,174.97,171.97,165.99,149.55,141.57,127.12,115.65,107.67,89.22,77.77,67.3,48.85,36.39,28.91,20.94,4881.08
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.42,31.9,52.9,71.88,94.9,105.0,121.96,137.3,149.41,154.67,164.35,169.61,166.38,164.76,167.19,156.28,161.53,154.67,151.03,146.59,139.72,134.07,133.26,123.16,120.75,111.05,110.65,102.98,97.73,83.59,69.46,55.32,42.81,31.09,23.83,17.37,3942.57
