,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,77.36,69.53,74.42,65.61,61.7,63.65,65.61,64.63,73.45,84.22,92.05,111.64,159.62,194.87,231.11,254.61,265.38,287.9,304.55,309.45,310.43,313.37,313.37,326.09,320.22,312.39,309.45,310.43,308.48,316.3,303.57,311.41,295.74,276.15,271.25,263.43,256.57,237.96,232.09,224.25,202.71,180.19,153.75,139.06,118.49,94.99,9613.52
1,2022-09-02,0.0,0.0,67.81,63.03,63.03,61.12,54.44,55.39,55.39,63.03,67.81,77.36,95.5,112.69,152.8,189.09,223.47,241.61,265.49,276.95,290.32,299.87,311.33,321.83,317.06,328.52,323.74,316.1,316.1,301.78,305.6,297.97,299.87,286.5,282.68,268.36,274.09,260.72,249.26,235.89,235.89,203.42,196.73,175.72,157.57,132.75,112.69,93.59,9381.94
2,2022-09-03,0.0,0.0,81.51,68.5,60.7,58.1,56.36,54.62,52.89,59.83,62.43,63.3,78.91,92.78,126.59,163.88,195.1,221.98,240.19,263.6,281.81,281.81,293.08,282.68,293.95,298.29,291.34,290.48,282.68,271.41,278.34,270.54,274.01,255.8,257.53,246.25,238.45,224.58,218.51,205.5,195.1,177.76,174.29,152.61,142.2,117.06,106.66,89.31,8493.3
3,2022-09-04,0.0,0.0,66.87,57.57,52.49,45.71,46.56,45.71,43.17,47.41,52.49,60.95,65.18,82.96,115.13,137.14,174.39,209.95,220.95,237.89,255.67,254.82,267.52,275.98,275.98,274.28,281.06,285.3,281.9,270.9,275.14,263.28,257.36,253.96,253.96,240.42,250.58,248.89,243.82,227.73,230.26,209.1,195.56,173.55,151.54,128.67,117.67,99.05,8306.49
4,2022-09-05,0.0,0.0,70.26,63.33,64.32,59.38,59.38,59.38,57.39,60.36,67.29,76.19,91.04,104.89,144.47,178.12,226.61,265.2,275.09,286.97,308.74,322.59,333.48,326.55,324.57,323.58,337.43,314.68,324.57,313.69,330.51,314.68,316.65,310.71,284.0,286.97,283.01,274.1,264.2,246.4,242.44,225.62,212.75,176.14,160.3,140.51,112.8,95.99,9717.32
5,2022-09-06,0.0,0.0,75.27,72.38,71.41,62.73,58.87,56.93,57.9,58.87,71.41,82.03,100.37,115.8,144.76,172.73,216.17,246.08,266.35,277.93,288.55,296.26,307.84,318.46,306.87,310.74,313.63,311.7,309.77,304.95,316.52,307.84,311.7,317.49,302.06,284.68,280.82,264.42,257.66,228.71,218.09,208.44,197.83,189.15,167.91,135.1,115.8,97.46,9478.44
6,2022-09-07,0.0,0.0,77.84,74.99,68.35,65.5,63.6,63.6,62.65,65.5,71.19,74.99,94.93,115.82,153.79,178.47,224.98,241.12,260.11,274.35,285.74,299.98,317.07,299.03,319.91,312.31,312.31,303.77,315.16,310.42,305.68,293.33,298.07,282.89,294.28,272.44,271.5,249.66,246.81,223.08,216.44,203.15,202.2,173.72,151.89,134.8,104.43,97.78,9329.64
7,2022-09-08,0.0,0.0,75.58,67.92,72.71,64.1,60.27,62.19,64.1,63.14,71.75,82.28,89.93,109.07,155.94,190.38,225.78,248.75,259.27,281.27,297.53,302.32,303.28,306.14,306.14,318.58,312.84,305.18,302.32,303.28,301.36,309.02,296.57,304.23,288.92,269.79,265.01,257.36,250.66,232.48,226.74,219.08,198.03,176.03,150.2,135.86,115.76,92.8,9391.95
8,2022-09-09,0.0,0.0,70.56,65.59,65.59,63.6,56.65,57.63,57.63,65.59,70.56,80.49,99.38,117.26,159.0,196.76,232.54,251.42,276.27,288.19,302.1,312.04,323.97,334.9,329.92,341.85,336.88,328.93,328.93,314.02,318.0,310.06,312.04,298.13,294.15,279.24,285.2,271.29,259.37,245.46,245.46,211.67,204.71,182.85,163.97,138.13,117.26,97.38,9762.65
9,2022-09-10,0.0,0.0,80.24,67.44,59.75,57.2,55.48,53.78,52.07,58.9,61.46,62.31,77.67,91.33,124.63,161.33,192.07,218.53,236.45,259.5,277.43,277.43,288.53,278.28,289.37,293.64,286.81,285.96,278.28,267.18,274.01,266.33,269.74,251.82,253.52,242.43,234.75,221.09,215.11,202.31,192.07,174.99,171.58,150.24,140.0,115.24,104.99,87.92,8361.21
10,2022-09-11,0.0,0.0,66.1,56.9,51.88,45.18,46.02,45.18,42.67,46.85,51.88,60.24,64.43,82.0,113.79,135.54,172.36,207.5,218.37,235.11,252.68,251.85,264.4,272.76,272.76,271.09,277.79,281.97,278.62,267.74,271.93,260.21,254.35,251.01,251.01,237.62,247.66,245.99,240.97,225.07,227.58,206.66,193.28,171.52,149.77,127.18,116.3,97.89,8209.65
11,2022-09-12,0.0,0.0,71.63,64.57,65.58,60.53,60.53,60.53,58.51,61.54,68.61,77.68,92.82,106.94,147.29,181.59,231.03,270.38,280.46,292.57,314.77,328.89,339.99,332.92,330.9,329.9,344.02,320.82,330.9,319.81,336.96,320.82,322.84,316.79,289.55,292.57,288.54,279.45,269.37,251.21,247.17,230.02,216.91,179.58,163.44,143.26,115.01,97.86,9907.03
12,2022-09-13,0.0,0.0,75.17,72.28,71.32,62.65,58.79,56.86,57.83,58.79,71.32,81.92,100.23,115.65,144.56,172.51,215.88,245.75,265.99,277.56,288.16,295.87,307.43,318.04,306.48,310.32,313.22,311.29,309.37,304.54,316.11,307.43,311.29,317.07,301.65,284.31,280.45,264.07,257.32,228.41,217.81,208.17,197.57,188.89,167.7,134.92,115.65,97.34,9465.93
13,2022-09-14,0.0,0.0,80.69,77.74,70.86,67.9,65.93,65.93,64.94,67.9,73.81,77.74,98.4,120.05,159.41,185.0,233.22,249.95,269.63,284.39,296.2,310.96,328.67,309.97,331.62,323.76,323.76,314.9,326.71,321.78,316.86,304.07,309.0,293.25,305.06,282.42,281.44,258.8,255.85,231.25,224.37,210.58,209.61,180.08,157.45,139.74,108.24,101.35,9671.26
14,2022-09-15,0.0,0.0,74.78,67.21,71.94,63.42,59.64,61.52,63.42,62.47,70.99,81.4,88.98,107.92,154.3,188.37,223.39,246.12,256.53,278.29,294.39,299.12,300.07,302.91,302.91,315.22,309.54,301.96,299.12,300.07,298.17,305.76,293.45,301.02,285.88,266.94,262.21,254.63,248.01,230.03,224.34,216.77,195.94,174.18,148.61,134.42,114.54,91.82,9292.74
15,2022-09-16,0.0,0.0,69.36,64.47,64.47,62.52,55.68,56.66,56.66,64.47,69.36,79.13,97.69,115.28,156.3,193.43,228.59,247.15,271.58,283.29,296.97,306.74,318.46,329.21,324.32,336.05,331.16,323.35,323.35,308.69,312.6,304.78,306.74,293.06,289.15,274.51,280.36,266.69,254.97,241.29,241.29,208.07,201.23,179.75,161.19,135.78,115.28,95.74,9596.84
16,2022-09-17,0.0,0.0,76.18,64.03,56.74,54.31,52.68,51.06,49.44,55.92,58.36,59.17,73.75,86.73,118.33,153.19,182.37,207.49,224.51,246.4,263.41,263.41,273.96,264.23,274.77,278.82,272.34,271.52,264.23,253.7,260.18,252.88,256.13,239.11,240.72,230.19,222.9,209.92,204.25,192.09,182.37,166.16,162.91,142.65,132.92,109.42,99.69,83.48,7939.02
17,2022-09-18,0.0,0.0,64.64,55.65,50.73,44.19,45.01,44.19,41.74,45.82,50.73,58.92,63.01,80.19,111.29,132.57,168.58,202.95,213.58,229.95,247.14,246.31,258.59,266.77,266.77,265.13,271.68,275.77,272.5,261.86,265.96,254.49,248.77,245.5,245.5,232.4,242.23,240.59,235.67,220.12,222.58,202.12,189.04,167.75,146.47,124.38,113.75,95.74,8029.33
18,2022-09-19,0.0,0.0,72.23,65.11,66.13,61.05,61.05,61.05,59.01,62.06,69.19,78.33,93.6,107.84,148.54,183.13,232.98,272.66,282.83,295.04,317.42,331.67,342.85,335.73,333.69,332.69,346.93,323.53,333.69,322.51,339.81,323.53,325.56,319.45,291.99,295.04,290.97,281.82,271.64,253.32,249.26,231.96,218.73,181.09,164.82,144.46,115.98,98.69,9990.66
19,2022-09-20,0.0,0.0,76.31,73.38,72.4,63.59,59.68,57.73,58.7,59.68,72.4,83.16,101.75,117.4,146.75,175.13,219.15,249.48,270.03,281.77,292.53,300.36,312.1,322.86,311.12,315.04,317.97,316.02,314.05,309.16,320.9,312.1,316.02,321.88,306.23,288.62,284.71,268.07,261.22,231.87,221.11,211.32,200.56,191.76,170.23,136.97,117.4,98.82,9609.45
20,2022-09-21,0.0,0.0,78.66,75.79,69.08,66.19,64.28,64.28,63.31,66.19,71.96,75.79,95.94,117.04,155.41,180.36,227.37,243.68,262.86,277.26,288.77,303.16,320.43,302.21,323.31,315.63,315.63,307.0,318.51,313.72,308.91,296.45,301.24,285.89,297.4,275.34,274.38,252.32,249.44,225.46,218.74,205.3,204.35,175.57,153.5,136.23,105.53,98.82,9428.7
