,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,8.37,6.51,5.58,4.65,4.18,4.65,5.12,6.04,10.23,14.42,26.97,39.07,66.05,82.79,107.44,130.7,144.66,158.15,171.17,176.75,180.47,182.33,188.84,179.54,182.8,177.68,177.21,179.54,181.86,175.35,176.28,167.45,162.79,155.35,150.7,140.0,129.31,117.67,112.56,89.77,72.56,55.82,41.86,32.09,25.11,17.67,4626.13
1,2022-09-02,0.0,0.0,7.98,6.65,5.32,5.32,4.88,4.43,4.88,5.76,8.87,14.63,24.38,37.24,59.4,79.79,109.93,122.35,138.75,153.82,162.69,170.23,172.88,177.32,177.32,176.43,177.32,176.43,172.88,175.11,177.76,175.55,168.01,155.6,152.94,147.62,132.99,125.9,113.04,102.85,95.75,79.35,69.15,59.84,43.44,32.36,25.71,18.62,4409.46
2,2022-09-03,0.0,0.0,8.68,6.14,5.43,4.7,3.98,4.34,4.34,4.7,7.23,10.12,20.98,28.57,47.37,64.36,84.97,94.02,109.2,122.94,133.79,138.49,147.17,151.87,148.97,147.53,149.7,139.94,144.64,138.49,135.24,131.26,125.12,120.05,119.33,110.28,108.12,99.44,99.07,92.21,87.5,74.85,62.2,49.54,38.33,27.84,21.33,15.55,3589.92
3,2022-09-04,0.0,0.0,6.58,5.26,4.61,3.94,3.94,3.29,3.29,3.94,5.92,7.57,15.12,20.38,33.21,48.0,62.46,74.63,84.17,95.67,104.55,110.46,119.35,126.25,127.23,126.9,127.89,121.32,128.22,121.97,125.26,119.01,119.67,115.07,109.16,107.18,111.78,109.48,110.14,101.26,96.98,92.72,81.21,63.12,42.08,29.59,22.35,15.45,3267.63
4,2022-09-05,0.0,0.0,7.23,6.27,4.82,4.34,4.34,3.86,4.34,4.82,8.18,12.52,21.2,35.65,59.25,79.48,105.97,122.84,144.02,156.08,171.49,173.89,188.35,183.53,185.46,183.53,187.39,184.49,187.39,182.57,183.53,184.98,182.08,173.42,172.45,164.74,159.44,149.33,144.02,132.47,124.28,108.87,85.74,71.29,57.8,39.01,28.42,21.68,4796.85
5,2022-09-06,0.0,0.0,7.99,5.64,5.17,4.7,4.23,4.23,4.7,6.11,9.87,15.04,28.2,41.36,66.74,84.6,111.39,130.66,144.29,164.03,170.61,182.83,188.47,184.24,188.47,188.47,187.06,183.76,185.18,178.12,176.71,176.71,170.14,167.31,159.33,152.27,149.46,135.82,129.72,116.09,107.16,98.23,79.43,62.04,44.18,32.43,23.97,15.98,4673.13
6,2022-09-07,0.0,0.0,7.32,6.4,5.03,5.03,4.57,4.11,5.03,5.94,9.6,15.09,26.06,38.86,62.18,79.1,107.44,126.64,139.9,152.24,166.41,174.64,173.73,175.1,182.87,179.67,181.04,178.3,177.84,178.3,176.92,182.87,175.56,168.7,161.84,151.33,144.92,132.58,128.92,116.58,110.18,87.78,74.06,54.86,42.06,32.0,22.85,16.91,4549.38
7,2022-09-08,0.0,0.0,8.25,6.42,5.5,4.58,4.12,4.58,5.05,5.96,10.08,14.22,26.59,38.51,65.12,81.62,105.92,128.84,142.61,155.9,168.73,174.24,177.91,179.74,186.17,176.99,180.21,175.16,174.7,176.99,179.28,172.87,173.78,165.07,160.48,153.15,148.57,138.02,127.48,116.0,110.97,88.5,71.53,55.02,41.27,31.64,24.76,17.42,4560.53
8,2022-09-09,0.0,0.0,8.2,6.84,5.47,5.47,5.02,4.55,5.02,5.92,9.11,15.04,25.07,38.28,61.06,82.02,113.0,125.76,142.62,158.11,167.22,174.97,177.71,182.26,182.26,181.35,182.26,181.35,177.71,179.98,182.72,180.44,172.69,159.93,157.2,151.73,136.7,129.41,116.2,105.71,98.42,81.56,71.08,61.51,44.65,33.26,26.43,19.13,4532.43
9,2022-09-10,0.0,0.0,8.85,6.26,5.53,4.79,4.06,4.42,4.42,4.79,7.37,10.32,21.39,29.13,48.31,65.64,86.66,95.87,111.36,125.38,136.44,141.23,150.08,154.87,151.92,150.45,152.66,142.71,147.5,141.23,137.92,133.86,127.58,122.43,121.69,112.47,110.25,101.41,101.04,94.03,89.23,76.33,63.42,50.52,39.08,28.4,21.75,15.86,3660.94
10,2022-09-11,0.0,0.0,7.05,5.64,4.94,4.23,4.23,3.52,3.52,4.23,6.35,8.11,16.22,21.85,35.6,51.46,66.97,80.01,90.24,102.58,112.09,118.43,127.95,135.35,136.41,136.06,137.11,130.07,137.47,130.77,134.3,127.6,128.31,123.37,117.02,114.91,119.85,117.37,118.08,108.56,103.98,99.4,87.06,67.68,45.12,31.72,23.97,16.57,3503.33
11,2022-09-12,0.0,0.0,7.63,6.62,5.09,4.58,4.58,4.08,4.58,5.09,8.66,13.24,22.4,37.67,62.62,84.0,112.0,129.82,152.22,164.94,181.24,183.78,199.06,193.96,196.0,193.96,198.03,194.98,198.03,192.95,193.96,195.49,192.44,183.27,182.26,174.11,168.51,157.82,152.22,140.0,131.34,115.05,90.62,75.35,61.09,41.23,30.04,22.91,5069.52
12,2022-09-13,0.0,0.0,7.98,5.64,5.17,4.7,4.22,4.22,4.7,6.1,9.86,15.03,28.18,41.33,66.7,84.55,111.32,130.59,144.21,163.94,170.51,182.72,188.36,184.13,188.36,188.36,186.95,183.66,185.07,178.02,176.61,176.61,170.04,167.22,159.24,152.19,149.37,135.75,129.64,116.02,107.1,98.17,79.38,62.0,44.16,32.42,23.96,15.97,4670.43
