,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,7.73,6.01,5.15,4.29,3.86,4.29,4.73,5.58,9.45,13.31,24.9,36.06,60.96,76.43,99.18,120.65,133.53,145.97,158.0,163.16,166.58,168.3,174.31,165.73,168.73,164.01,163.58,165.73,167.88,161.87,162.72,154.57,150.28,143.4,139.11,129.24,119.36,108.63,103.9,82.87,66.98,51.52,38.64,29.63,23.18,16.32,4270.3
1,2022-09-02,0.0,0.0,7.37,6.13,4.91,4.91,4.5,4.09,4.5,5.32,8.18,13.5,22.5,34.38,54.84,73.66,101.48,112.94,128.08,141.99,150.17,157.13,159.58,163.67,163.67,162.86,163.67,162.86,159.58,161.63,164.09,162.04,155.09,143.63,141.17,136.27,122.76,116.21,104.34,94.93,88.39,73.25,63.83,55.24,40.1,29.87,23.74,17.18,4070.23
2,2022-09-03,0.0,0.0,8.01,5.67,5.01,4.34,3.68,4.01,4.01,4.34,6.68,9.35,19.36,26.36,43.73,59.42,78.44,86.79,100.81,113.48,123.49,127.83,135.85,140.19,137.51,136.18,138.19,129.17,133.51,127.83,124.83,121.16,115.49,110.82,110.15,101.8,99.8,91.79,91.46,85.12,80.78,69.09,57.41,45.73,35.38,25.7,19.7,14.35,3313.79
3,2022-09-04,0.0,0.0,6.07,4.86,4.25,3.64,3.64,3.04,3.04,3.64,5.46,6.98,13.96,18.81,30.65,44.31,57.66,68.89,77.69,88.31,96.51,101.97,110.16,116.54,117.44,117.14,118.05,111.98,118.36,112.59,115.62,109.86,110.46,106.22,100.75,98.93,103.18,101.06,101.66,93.47,89.53,85.58,74.96,58.27,38.84,27.31,20.63,14.27,3016.26
4,2022-09-05,0.0,0.0,6.67,5.78,4.45,4.01,4.01,3.55,4.01,4.45,7.56,11.56,19.56,32.91,54.69,73.37,97.82,113.39,132.95,144.06,158.29,160.51,173.86,169.41,171.19,169.41,172.97,170.31,172.97,168.52,169.41,170.75,168.08,160.07,159.19,152.07,147.18,137.84,132.95,122.28,114.72,100.49,79.15,65.81,53.35,36.02,26.23,20.01,4427.83
5,2022-09-06,0.0,0.0,7.38,5.21,4.78,4.33,3.9,3.9,4.33,5.64,9.11,13.88,26.03,38.18,61.6,78.09,102.82,120.61,133.19,151.41,157.48,168.76,173.97,170.07,173.97,173.97,172.66,169.63,170.93,164.43,163.12,163.12,157.05,154.44,147.07,140.56,137.97,125.38,119.74,107.16,98.91,90.67,73.32,57.27,40.78,29.93,22.13,14.75,4313.63
6,2022-09-07,0.0,0.0,6.75,5.91,4.64,4.64,4.22,3.8,4.64,5.49,8.86,13.93,24.05,35.87,57.4,73.01,99.18,116.89,129.14,140.53,153.61,161.21,160.36,161.63,168.8,165.85,167.12,164.58,164.16,164.58,163.32,168.8,162.05,155.72,149.39,139.69,133.78,122.38,119.01,107.61,101.71,81.03,68.36,50.64,38.82,29.54,21.11,15.62,4199.42
7,2022-09-08,0.0,0.0,7.62,5.92,5.08,4.23,3.81,4.23,4.65,5.5,9.31,13.12,24.55,35.56,60.1,75.34,97.77,118.93,131.64,143.9,155.76,160.83,164.22,165.92,171.84,163.38,166.34,161.69,161.26,163.38,165.5,159.57,160.41,152.37,148.14,141.37,137.14,127.4,117.66,107.09,102.43,81.69,66.03,50.79,38.09,29.2,22.85,16.09,4209.68
8,2022-09-09,0.0,0.0,7.57,6.31,5.05,5.05,4.62,4.2,4.62,5.47,8.42,13.88,23.13,35.33,56.36,75.71,104.31,116.09,131.65,145.95,154.36,161.51,164.04,168.24,168.24,167.4,168.24,167.4,164.04,166.14,168.66,166.56,159.41,147.64,145.11,140.07,126.18,119.45,107.26,97.58,90.85,75.29,65.61,56.79,41.22,30.71,24.39,17.67,4183.79
9,2022-09-10,0.0,0.0,8.17,5.79,5.11,4.42,3.75,4.09,4.09,4.42,6.81,9.53,19.74,26.89,44.59,60.58,79.99,88.5,102.8,115.73,125.94,130.36,138.54,142.96,140.24,138.88,140.92,131.73,136.15,130.36,127.3,123.56,117.77,113.01,112.33,103.82,101.77,93.61,93.26,86.8,82.38,70.46,58.55,46.64,36.08,26.21,20.08,14.63,3379.34
