,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,36.61,61.9,77.6,100.69,122.5,135.57,148.21,160.42,165.65,169.13,170.88,176.98,168.27,171.32,166.52,166.08,168.27,170.45,164.35,165.21,156.94,152.58,145.6,141.24,131.21,121.19,110.29,105.49,84.14,68.0,52.31,39.24,30.08,23.54,16.57,4270.3
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,34.92,55.7,74.82,103.08,114.73,130.11,144.23,152.55,159.62,162.11,166.26,166.26,165.44,166.26,165.44,162.11,164.19,166.68,164.61,157.54,145.9,143.41,138.42,124.71,118.05,105.99,96.44,89.79,74.4,64.84,56.11,40.73,30.34,24.11,17.45,4070.23
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.68,26.81,44.47,60.42,79.76,88.25,102.51,115.4,125.58,130.0,138.15,142.56,139.84,138.49,140.52,131.36,135.77,130.0,126.94,123.21,117.44,112.69,112.01,103.52,101.49,93.34,93.01,86.55,82.14,70.26,58.38,46.5,35.98,26.13,20.03,14.59,3313.79
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17,19.1,31.11,44.97,58.52,69.93,78.85,89.64,97.96,103.5,111.82,118.29,119.21,118.9,119.82,113.66,120.14,114.28,117.36,111.51,112.12,107.81,102.27,100.42,104.73,102.57,103.19,94.87,90.87,86.87,76.09,59.14,39.43,27.72,20.94,14.48,3016.26
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,33.33,55.39,74.31,99.07,114.84,134.65,145.91,160.32,162.57,176.09,171.58,173.38,171.58,175.18,172.49,175.18,170.68,171.58,172.94,170.23,162.12,161.23,154.02,149.06,139.61,134.65,123.85,116.19,101.78,80.17,66.65,54.04,36.48,26.57,20.27,4427.83
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,38.74,62.51,79.24,104.33,122.38,135.15,153.63,159.79,171.24,176.53,172.57,176.53,176.53,175.2,172.12,173.45,166.84,165.52,165.52,159.36,156.71,149.24,142.62,139.99,127.22,121.5,108.73,100.37,92.0,74.39,58.11,41.38,30.37,22.45,14.97,4313.63
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.42,36.41,58.27,74.12,100.68,118.67,131.1,142.67,155.94,163.66,162.8,164.09,171.37,168.37,169.66,167.09,166.66,167.09,165.8,171.37,164.51,158.09,151.66,141.81,135.81,124.24,120.81,109.24,103.26,82.26,69.4,51.41,39.41,29.99,21.43,15.86,4199.42
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,36.1,61.02,76.49,99.26,120.75,133.65,146.11,158.14,163.29,166.73,168.46,174.47,165.88,168.89,164.16,163.73,165.88,168.03,162.01,162.87,154.7,150.4,143.53,139.24,129.35,119.46,108.73,104.0,82.94,67.04,51.57,38.68,29.65,23.2,16.33,4209.68
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,35.89,57.26,76.91,105.96,117.92,133.74,148.26,156.81,164.07,166.63,170.9,170.9,170.05,170.9,170.05,166.63,168.77,171.33,169.2,161.93,149.97,147.41,142.28,128.18,121.35,108.96,99.12,92.29,76.48,66.65,57.69,41.88,31.19,24.78,17.95,4183.79
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,27.34,45.35,61.61,81.34,90.0,104.54,117.69,128.07,132.57,140.88,145.38,142.61,141.23,143.3,133.96,138.45,132.57,129.45,125.64,119.77,114.92,114.22,105.57,103.49,95.19,94.84,88.26,83.77,71.65,59.54,47.42,36.69,26.66,20.42,14.88,3379.34
10,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19,20.47,33.36,48.22,62.75,74.97,84.55,96.11,105.02,110.97,119.88,126.82,127.81,127.48,128.47,121.86,128.8,122.53,125.82,119.55,120.21,115.59,109.65,107.66,112.28,109.98,110.64,101.72,97.43,93.13,81.57,63.41,42.28,29.73,22.45,15.52,3233.87
11,2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.94,35.22,58.54,78.53,104.71,121.37,142.31,154.21,169.44,171.82,186.1,181.34,183.24,181.34,185.15,182.29,185.15,180.39,181.34,182.77,179.91,171.34,170.39,162.77,157.54,147.55,142.31,130.89,122.79,107.57,84.72,70.44,57.11,38.55,28.08,21.42,4679.57
12,2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39,38.72,62.48,79.19,104.28,122.31,135.06,153.54,159.7,171.14,176.42,172.47,176.42,176.42,175.11,172.03,173.34,166.74,165.43,165.43,159.26,156.62,149.14,142.54,139.91,127.15,121.42,108.67,100.31,91.95,74.35,58.07,41.36,30.36,22.43,14.96,4311.14
13,2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.83,37.03,59.25,75.36,102.37,120.67,133.3,145.07,158.57,166.41,165.53,166.84,174.25,171.2,172.51,169.89,169.46,169.89,168.59,174.25,167.28,160.75,154.21,144.19,138.1,126.33,122.84,111.08,104.99,83.64,70.57,52.27,40.08,30.5,21.78,16.12,4270.01
14,2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.12,36.38,61.49,77.08,100.03,121.68,134.67,147.24,159.36,164.56,168.02,169.76,175.82,167.15,170.18,165.42,164.99,167.15,169.32,163.25,164.12,155.89,151.57,144.64,140.31,130.35,120.38,109.56,104.8,83.58,67.55,51.96,38.97,29.88,23.38,16.45,4242.08
15,2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96,36.61,58.39,78.43,108.06,120.26,136.38,151.2,159.91,167.32,169.93,174.29,174.29,173.42,174.29,173.42,169.93,172.12,174.72,172.55,165.14,152.94,150.32,145.09,130.72,123.75,111.11,101.09,94.12,78.0,67.97,58.82,42.7,31.8,25.27,18.3,4266.64
