,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.18,33.56,56.74,71.12,92.3,112.29,124.27,135.86,147.06,151.84,155.05,156.64,162.23,154.24,157.04,152.65,152.25,154.24,156.24,150.65,151.44,143.85,139.86,133.47,129.47,120.28,111.09,101.1,96.7,77.13,62.34,47.95,35.96,27.57,21.58,15.19,3914.44
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96,32.01,51.06,68.58,94.49,105.17,119.26,132.22,139.84,146.32,148.61,152.42,152.42,151.65,152.42,151.65,148.61,150.51,152.79,150.89,144.41,133.75,131.46,126.88,114.31,108.21,97.16,88.4,82.3,68.21,59.44,51.43,37.34,27.81,22.1,16.0,3731.08
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04,24.58,40.76,55.38,73.12,80.89,93.96,105.79,115.12,119.16,126.64,130.68,128.19,126.94,128.81,120.41,124.46,119.16,116.37,112.95,107.65,103.3,102.67,94.9,93.03,85.56,85.25,79.34,75.3,64.4,53.52,42.62,32.99,23.95,18.36,13.37,3037.62
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.99,17.5,28.52,41.22,53.65,64.1,72.29,82.17,89.79,94.87,102.5,108.43,109.27,109.0,109.84,104.2,110.12,104.76,107.58,102.22,102.78,98.83,93.74,92.06,96.01,94.03,94.59,86.97,83.29,79.63,69.74,54.21,36.14,25.42,19.2,13.27,2764.92
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17,30.55,50.77,68.11,90.82,105.27,123.43,133.76,146.96,149.02,161.41,157.28,158.94,157.28,160.59,158.11,160.59,156.46,157.28,158.52,156.04,148.62,147.79,141.18,136.65,127.97,123.43,113.53,106.51,93.3,73.48,61.1,49.54,33.44,24.36,18.57,4058.84
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.21,35.51,57.31,72.64,95.63,112.18,123.88,140.83,146.48,156.97,161.82,158.18,161.82,161.82,160.6,157.78,158.99,152.94,151.73,151.73,146.07,143.66,136.8,130.74,128.32,116.62,111.38,99.67,92.0,84.34,68.2,53.27,37.93,27.84,20.58,13.72,3954.18
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.39,33.38,53.41,67.94,92.29,108.78,120.17,130.77,142.95,150.02,149.24,150.41,157.08,154.34,155.51,153.16,152.77,153.16,151.98,157.08,150.81,144.91,139.03,129.99,124.5,113.89,110.74,100.14,94.64,75.4,63.63,47.13,36.13,27.49,19.64,14.53,3849.43
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,33.09,55.94,70.12,91.0,110.7,122.51,133.94,144.96,149.69,152.84,154.41,159.94,152.06,154.81,150.47,150.09,152.06,154.03,148.52,149.3,141.81,137.88,131.57,127.63,118.57,109.51,99.66,95.33,76.02,61.45,47.27,35.45,27.18,21.27,14.97,3858.89
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54,32.9,52.49,70.5,97.13,108.1,122.59,135.91,143.74,150.39,152.75,156.66,156.66,155.88,156.66,155.88,152.75,154.7,157.05,155.1,148.44,137.47,135.12,130.43,117.5,111.23,99.88,90.87,84.6,70.1,61.1,52.87,38.38,28.59,22.71,16.45,3835.15
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,25.07,41.57,56.48,74.56,82.5,95.82,107.88,117.4,121.53,129.14,133.26,130.72,129.45,131.36,122.8,126.91,121.53,118.67,115.18,109.78,105.35,104.71,96.78,94.87,87.25,86.93,80.91,76.79,65.68,54.57,43.47,33.63,24.43,18.72,13.64,3097.75
