,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.25,64.08,108.33,135.79,176.22,214.36,237.25,259.38,280.73,289.88,295.99,299.04,309.73,294.47,299.81,291.42,290.65,294.47,298.28,287.6,289.13,274.64,267.0,254.79,247.17,229.62,212.08,193.01,184.62,147.23,119.01,91.55,68.65,52.64,41.2,28.99,7473.01
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.01,61.11,97.48,130.94,180.4,200.77,227.69,252.41,266.97,279.33,283.7,290.97,290.97,289.52,290.97,289.52,283.7,287.33,291.7,288.06,275.69,255.33,250.96,242.23,218.23,206.59,185.5,168.77,157.12,130.21,113.48,98.2,71.29,53.1,42.19,30.55,7122.96
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.45,46.92,77.81,105.72,139.59,154.44,179.39,201.96,219.78,227.5,241.75,249.47,244.72,242.35,245.91,229.87,237.59,227.5,222.15,215.62,205.52,197.21,196.02,181.17,177.6,163.35,162.76,151.47,143.75,122.96,102.16,81.37,62.96,45.73,35.04,25.54,5799.1
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.79,33.42,54.45,78.7,102.42,122.36,138.0,156.87,171.42,181.12,195.68,207.0,208.62,208.08,209.69,198.91,210.23,199.99,205.38,195.14,196.22,188.67,178.96,175.74,183.28,179.51,180.59,166.03,159.02,152.02,133.15,103.5,69.0,48.51,36.66,25.33,5278.45
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.67,58.32,96.94,130.03,173.38,200.97,235.65,255.35,280.56,284.51,308.15,300.26,303.42,300.26,306.57,301.84,306.57,298.7,300.26,302.63,297.9,283.72,282.14,269.54,260.86,244.31,235.65,216.73,203.34,178.11,140.29,116.64,94.57,63.83,46.5,35.47,7748.64
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.23,67.79,109.4,138.67,182.58,214.16,236.5,268.87,279.65,299.68,308.92,301.99,308.92,308.92,306.61,301.22,303.53,291.97,289.66,289.66,278.87,274.25,261.15,249.6,244.98,222.64,212.62,190.28,175.65,161.01,130.19,101.69,72.41,53.15,39.29,26.19,7548.91
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.74,63.73,101.97,129.7,176.19,207.68,229.42,249.67,272.91,286.4,284.9,287.15,299.9,294.65,296.9,292.4,291.65,292.4,290.15,299.9,287.9,276.65,265.41,248.17,237.67,217.43,211.43,191.18,180.69,143.95,121.46,89.97,68.97,52.48,37.49,27.74,7348.99
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62,63.17,106.79,133.87,173.72,211.32,233.89,255.69,276.75,285.77,291.79,294.79,305.33,290.28,295.55,287.28,286.53,290.28,294.05,283.52,285.03,270.74,263.21,251.18,243.66,226.37,209.06,190.26,181.99,145.15,117.32,90.24,67.68,51.89,40.61,28.58,7366.97
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.12,62.81,100.19,134.59,185.44,206.37,234.03,259.45,274.42,287.12,291.6,299.09,299.09,297.59,299.09,297.59,291.6,295.34,299.84,296.1,283.38,262.45,257.96,248.99,224.32,212.35,190.66,173.47,161.51,133.84,116.65,100.94,73.27,54.58,43.37,31.41,7321.62
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.14,47.85,79.36,107.82,142.35,157.49,182.93,205.95,224.13,232.0,246.54,254.41,249.57,247.14,250.78,234.42,242.3,232.0,226.55,219.89,209.59,201.11,199.9,184.75,181.12,166.58,165.97,154.46,146.59,125.39,104.19,82.99,64.21,46.65,35.74,26.04,5913.87
