,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,18.04,14.02,12.02,10.02,9.02,10.02,11.02,13.02,22.04,31.05,58.11,84.16,142.25,178.33,231.42,281.51,311.56,340.62,368.66,380.69,388.7,392.71,406.74,386.7,393.72,382.69,381.69,386.7,391.71,377.68,379.68,360.65,350.64,334.6,324.59,301.55,278.51,253.46,242.43,193.35,156.28,120.22,90.17,69.13,54.1,38.07,9964.04
1,2022-09-02,0.0,0.0,17.18,14.32,11.46,11.46,10.51,9.55,10.51,12.42,19.09,31.51,52.51,80.2,127.94,171.86,236.79,263.52,298.84,331.31,350.4,366.64,372.37,381.91,381.91,380.0,381.91,380.0,372.37,377.14,382.87,378.09,361.86,335.13,329.4,317.95,286.44,271.16,243.47,221.51,206.23,170.9,148.94,128.9,93.57,69.7,55.38,40.1,9497.24
2,2022-09-03,0.0,0.0,18.69,13.24,11.68,10.12,8.57,9.35,9.35,10.12,15.58,21.8,45.18,61.53,102.02,138.63,183.02,202.5,235.21,264.79,288.17,298.29,316.98,327.1,320.88,317.75,322.43,301.4,311.53,298.29,291.28,282.71,269.48,258.57,257.01,237.54,232.87,214.18,213.39,198.6,188.47,161.22,133.96,106.7,82.56,59.97,45.95,33.48,7732.13
3,2022-09-04,0.0,0.0,14.17,11.33,9.91,8.5,8.5,7.08,7.08,8.5,12.75,16.29,32.58,43.9,71.52,103.38,134.54,160.74,181.28,206.06,225.18,237.93,257.04,271.91,274.04,273.33,275.45,261.3,276.17,262.71,269.79,256.34,257.76,247.84,235.09,230.85,240.75,235.81,237.21,218.1,208.89,199.69,174.9,135.96,90.63,63.73,48.15,33.28,7037.93
4,2022-09-05,0.0,0.0,15.57,13.49,10.37,9.34,9.34,8.3,9.34,10.37,17.63,26.97,45.65,76.77,127.62,171.19,228.25,264.57,310.21,336.15,369.35,374.54,405.66,395.29,399.45,395.29,403.59,397.37,403.59,393.22,395.29,398.4,392.18,373.51,371.43,354.83,343.42,321.63,310.21,285.32,267.67,234.47,184.68,153.55,124.5,84.04,61.22,46.69,10331.56
5,2022-09-06,0.0,0.0,17.21,12.15,11.14,10.12,9.11,9.11,10.12,13.16,21.25,32.39,60.74,89.08,143.75,182.21,239.92,281.42,310.77,353.29,367.46,393.78,405.93,396.81,405.93,405.93,402.89,395.81,398.84,383.66,380.62,380.62,366.45,360.38,343.16,327.98,321.91,292.55,279.39,250.03,230.81,211.57,171.07,133.62,95.15,69.85,51.63,34.42,10065.21
6,2022-09-07,0.0,0.0,15.76,13.79,10.83,10.83,9.85,8.86,10.83,12.8,20.68,32.49,56.13,83.7,133.92,170.35,231.41,272.76,301.32,327.9,358.43,376.15,374.18,377.14,393.88,386.98,389.94,384.03,383.05,384.03,381.08,393.88,378.12,363.35,348.58,325.93,312.15,285.56,277.68,251.1,237.31,189.07,159.52,118.16,90.59,68.92,49.24,36.43,9798.69
7,2022-09-08,0.0,0.0,17.77,13.82,11.85,9.87,8.89,9.87,10.87,12.84,21.73,30.61,57.28,82.96,140.24,175.79,228.14,277.51,307.15,335.78,363.44,375.29,383.19,387.14,400.97,381.21,388.13,377.26,376.27,381.21,386.15,372.32,374.3,355.53,345.66,329.86,319.99,297.27,274.56,249.86,239.0,190.61,154.07,118.51,88.88,68.14,53.33,37.53,9822.65
8,2022-09-09,0.0,0.0,17.67,14.72,11.77,11.77,10.8,9.81,10.8,12.76,19.63,32.38,53.98,82.44,131.51,176.65,243.39,270.87,307.18,340.55,360.18,376.86,382.76,392.57,392.57,390.6,392.57,390.6,382.76,387.66,393.54,388.64,371.96,344.48,338.59,326.81,294.43,278.72,250.26,227.69,211.98,175.68,153.1,132.5,96.18,71.65,56.92,41.22,9762.17
9,2022-09-10,0.0,0.0,19.06,13.5,11.91,10.32,8.74,9.53,9.53,10.32,15.88,22.24,46.06,62.75,104.05,141.37,186.65,206.5,239.86,270.04,293.87,304.19,323.25,333.58,327.22,324.05,328.81,307.37,317.69,304.19,297.04,288.31,274.8,263.69,262.1,242.25,237.47,218.41,217.62,202.53,192.21,164.41,136.61,108.81,84.19,61.16,46.86,34.15,7885.14
