,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96,27.47,46.42,58.19,75.52,91.87,101.67,111.16,120.31,124.24,126.85,128.16,132.73,126.2,128.49,124.9,124.57,126.2,127.83,123.25,123.92,117.7,114.43,109.2,105.93,98.41,90.88,82.72,79.12,63.1,51.01,39.24,29.43,22.56,17.66,12.42,3202.73
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.15,26.19,41.77,56.11,77.32,86.05,97.58,108.18,114.41,119.71,121.58,124.71,124.71,124.08,124.71,124.08,121.58,123.14,125.01,123.45,118.16,109.43,107.56,103.81,93.52,88.54,79.5,72.33,67.34,55.81,48.64,42.09,30.55,22.76,18.08,13.09,3052.71
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.77,20.11,33.34,45.31,59.83,66.19,76.88,86.55,94.19,97.5,103.6,106.91,104.88,103.86,105.39,98.52,101.82,97.5,95.21,92.41,88.08,84.52,84.0,77.64,76.12,70.01,69.75,64.92,61.61,52.7,43.79,34.88,26.98,19.6,15.02,10.95,2485.35
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,14.33,23.33,33.73,43.9,52.45,59.14,67.23,73.47,77.63,83.87,88.72,89.41,89.18,89.87,85.24,90.09,85.71,88.02,83.63,84.09,80.85,76.7,75.32,78.55,76.93,77.39,71.15,68.15,65.15,57.06,44.36,29.57,20.79,15.7,10.85,2262.19
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.86,24.99,41.55,55.73,74.31,86.13,100.99,109.44,120.24,121.93,132.07,128.68,130.03,128.68,131.39,129.36,131.39,128.01,128.68,129.7,127.68,121.59,120.92,115.51,111.8,104.71,100.99,92.88,87.14,76.33,60.12,49.99,40.53,27.36,19.92,15.2,3320.83
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,29.06,46.88,59.43,78.25,91.79,101.36,115.22,119.84,128.43,132.39,129.42,132.39,132.39,131.4,129.1,130.09,125.13,124.14,124.14,119.52,117.54,111.93,106.97,104.99,95.42,91.12,81.55,75.28,69.01,55.8,43.58,31.03,22.78,16.83,11.22,3235.23
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31,27.31,43.7,55.59,75.51,89.0,98.33,107.0,116.96,122.74,122.1,123.07,128.53,126.28,127.24,125.31,125.0,125.31,124.35,128.53,123.38,118.57,113.74,106.36,101.86,93.18,90.61,81.94,77.44,61.7,52.06,38.56,29.56,22.49,16.07,11.89,3149.55
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.69,27.07,45.77,57.37,74.45,90.57,100.24,109.58,118.61,122.48,125.05,126.35,130.86,124.41,126.66,123.12,122.79,124.41,126.02,121.51,122.15,116.03,112.81,107.65,104.43,97.01,89.6,81.55,77.99,62.2,50.28,38.68,29.01,22.24,17.4,12.25,3157.26
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.63,26.92,42.94,57.69,79.47,88.45,100.3,111.19,117.61,123.05,124.97,128.18,128.18,127.54,128.18,127.54,124.97,126.58,128.5,126.9,121.45,112.48,110.55,106.71,96.14,91.01,81.72,74.34,69.22,57.36,50.0,43.26,31.41,23.39,18.59,13.46,3137.86
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.05,20.51,34.01,46.21,61.0,67.5,78.4,88.26,96.06,99.43,105.66,109.03,106.95,105.92,107.48,100.47,103.84,99.43,97.09,94.24,89.82,86.19,85.67,79.18,77.62,71.39,71.13,66.2,62.83,53.73,44.65,35.57,27.52,19.99,15.32,11.16,2534.52
10,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,15.36,25.02,36.16,47.06,56.22,63.41,72.08,78.77,83.22,89.91,95.12,95.85,95.61,96.36,91.4,96.6,91.89,94.37,89.67,90.16,86.7,82.23,80.75,84.21,82.48,82.98,76.29,73.07,69.85,61.18,47.55,31.71,22.29,16.84,11.64,2425.42
11,2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,26.41,43.91,58.9,78.53,91.03,106.73,115.65,127.08,128.87,139.58,136.01,137.43,136.01,138.86,136.72,138.86,135.29,136.01,137.07,134.94,128.51,127.8,122.08,118.16,110.66,106.73,98.17,92.1,80.68,63.54,52.83,42.84,28.92,21.06,16.06,3509.7
12,2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,29.03,46.86,59.4,78.2,91.73,101.3,115.16,119.78,128.36,132.32,129.35,132.32,132.32,131.33,129.01,130.0,125.06,124.07,124.07,119.45,117.47,111.86,106.91,104.93,95.36,91.07,81.5,75.23,68.97,55.76,43.55,31.01,22.77,16.83,11.22,3233.36
13,2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.62,27.77,44.43,56.52,76.78,90.5,99.98,108.79,118.93,124.8,124.15,125.13,130.69,128.4,129.38,127.41,127.09,127.41,126.43,130.69,125.46,120.56,115.66,108.14,103.57,94.74,92.13,83.32,78.74,62.73,52.93,39.21,30.06,22.88,16.33,12.09,3202.47
14,2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83,27.28,46.12,57.81,75.02,91.26,101.01,110.42,119.52,123.42,126.02,127.31,131.86,125.36,127.64,124.07,123.74,125.36,126.99,122.45,123.09,116.92,113.68,108.47,105.23,97.75,90.29,82.17,78.6,62.68,50.67,38.97,29.23,22.4,17.54,12.34,3181.53
15,2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.98,27.45,43.8,58.82,81.04,90.2,102.29,113.4,119.94,125.49,127.45,130.72,130.72,130.07,130.72,130.07,127.45,129.09,131.05,129.41,123.86,114.71,112.75,108.82,98.04,92.81,83.33,75.81,70.59,58.49,50.98,44.12,32.03,23.86,18.96,13.73,3200.04
16,2022-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.74,20.06,33.27,45.21,59.69,66.04,76.7,86.36,93.98,97.29,103.38,106.68,104.65,103.64,105.15,98.3,101.6,97.29,94.99,92.2,87.89,84.33,83.82,77.47,75.94,69.85,69.6,64.77,61.46,52.58,43.69,34.8,26.92,19.56,14.98,10.93,2479.8
17,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.67,14.39,23.44,33.88,44.09,52.67,59.4,67.53,73.79,77.96,84.23,89.1,89.8,89.57,90.27,85.62,90.5,86.09,88.41,84.0,84.47,81.22,77.05,75.65,78.89,77.27,77.74,71.47,68.46,65.43,57.32,44.55,29.7,20.88,15.78,10.91,2272.21
18,2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.54,24.46,40.65,54.54,72.71,84.29,98.82,107.09,117.67,119.31,129.23,125.92,127.25,125.92,128.57,126.59,128.57,125.26,125.92,126.92,124.94,118.99,118.33,113.04,109.4,102.46,98.82,90.9,85.27,74.69,58.83,48.91,39.67,26.77,19.5,14.87,3249.6
19,2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,28.26,45.6,57.8,76.12,89.28,98.59,112.08,116.58,124.92,128.78,125.89,128.78,128.78,127.82,125.57,126.54,121.72,120.75,120.75,116.25,114.33,108.87,104.05,102.12,92.81,88.64,79.32,73.22,67.12,54.27,42.39,30.19,22.16,16.37,10.92,3146.92
20,2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02,26.87,43.01,54.7,74.3,87.58,96.76,105.29,115.09,120.78,120.15,121.1,126.48,124.26,125.21,123.31,123.0,123.31,122.37,126.48,121.42,116.67,111.93,104.65,100.24,91.7,89.16,80.62,76.2,60.71,51.22,37.95,29.09,22.13,15.8,11.7,3099.26
21,2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.32,25.08,42.4,53.15,68.97,83.89,92.86,101.51,109.87,113.45,115.84,117.04,121.22,115.25,117.33,114.06,113.75,115.25,116.74,112.56,113.16,107.48,104.5,99.73,96.73,89.87,83.01,75.53,72.26,57.62,46.58,35.83,26.88,20.6,16.13,11.35,2924.8
22,2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83,25.7,41.0,55.07,75.88,84.44,95.77,106.17,112.29,117.5,119.32,122.39,122.39,121.77,122.39,121.77,119.32,120.86,122.69,121.16,115.96,107.39,105.56,101.89,91.79,86.9,78.02,70.98,66.09,54.76,47.73,41.3,29.99,22.34,17.75,12.85,2996.01
23,2022-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.94,18.99,31.48,42.78,56.47,62.48,72.57,81.7,88.91,92.03,97.8,100.92,99.0,98.03,99.48,93.0,96.12,92.03,89.87,87.23,83.14,79.78,79.29,73.29,71.85,66.08,65.84,61.27,58.15,49.74,41.33,32.92,25.47,18.5,14.17,10.33,2345.98
24,2022-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55,12.87,20.96,30.3,39.43,47.1,53.13,60.39,66.0,69.73,75.33,79.69,80.31,80.11,80.73,76.57,80.94,76.99,79.07,75.12,75.54,72.63,68.9,67.65,70.56,69.11,69.52,63.91,61.22,58.52,51.26,39.84,26.56,18.68,14.11,9.75,2032.09
25,2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,23.88,39.7,53.25,71.0,82.3,96.5,104.57,114.9,116.51,126.19,122.97,124.26,122.97,125.55,123.61,125.55,122.33,122.97,123.93,122.0,116.19,115.54,110.37,106.82,100.05,96.5,88.75,83.27,72.94,57.45,47.76,38.73,26.14,19.04,14.52,3173.21
26,2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14,26.6,42.92,54.41,71.63,84.02,92.79,105.48,109.71,117.57,121.2,118.48,121.2,121.2,120.29,118.17,119.08,114.55,113.64,113.64,109.41,107.6,102.46,97.93,96.11,87.35,83.42,74.65,68.91,63.17,51.08,39.9,28.41,20.85,15.42,10.27,2961.67
