,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.35,67.13,113.48,142.26,184.62,224.57,248.55,271.73,294.1,303.7,310.09,313.28,324.47,308.49,314.09,305.29,304.49,308.49,312.48,301.3,302.89,287.71,279.72,266.93,258.94,240.55,222.17,202.2,193.41,154.24,124.67,95.91,71.93,55.14,43.16,30.37,7828.88
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.92,64.02,102.11,137.18,188.99,210.33,238.52,264.44,279.67,292.64,297.2,304.83,304.83,303.3,304.83,303.3,297.2,301.02,305.59,301.78,288.83,267.48,262.91,253.76,228.62,216.42,194.33,176.79,164.61,136.41,118.88,102.88,74.68,55.63,44.2,32.01,7462.14
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09,49.16,81.52,110.76,146.24,161.79,187.93,211.57,230.24,238.33,253.26,261.35,256.38,253.89,257.62,240.82,248.91,238.33,232.73,225.89,215.31,206.6,205.35,189.79,186.06,171.12,170.5,158.68,150.59,128.81,107.04,85.25,65.96,47.92,36.71,26.76,6075.24
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.98,35.01,57.04,82.45,107.3,128.19,144.57,164.33,179.59,189.75,204.99,216.86,218.55,217.98,219.68,208.38,220.24,209.52,215.16,204.43,205.57,197.65,187.49,184.1,192.01,188.05,189.19,173.94,166.6,159.26,139.49,108.42,72.29,50.82,38.41,26.54,5529.85
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33,61.1,101.56,136.23,181.64,210.54,246.87,267.5,293.93,298.06,322.82,314.57,317.87,314.57,321.18,316.22,321.18,312.92,314.57,317.05,312.09,297.23,295.58,282.36,273.28,255.95,246.87,227.05,213.02,186.6,146.96,122.19,99.07,66.87,48.71,37.15,8117.68
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,71.02,114.6,145.27,191.27,224.36,247.77,281.66,292.96,313.95,323.63,316.37,323.63,323.63,321.21,315.56,317.98,305.88,303.45,303.45,292.16,287.31,273.59,261.49,256.64,233.24,222.75,199.35,184.0,168.67,136.39,106.53,75.86,55.68,41.16,27.44,7908.3
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.77,66.76,106.83,135.88,184.58,217.57,240.34,261.55,285.9,300.04,298.47,300.83,314.18,308.68,311.04,306.33,305.54,306.33,303.97,314.18,301.61,289.83,278.05,259.98,248.98,227.78,221.5,200.29,189.3,150.81,127.24,94.26,72.26,54.98,39.27,29.06,7698.98
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,66.18,111.87,140.24,181.99,221.38,245.02,267.87,289.93,299.39,305.69,308.84,319.86,304.11,309.63,300.96,300.17,304.11,308.05,297.02,298.59,283.63,275.75,263.14,255.26,237.14,219.03,199.33,190.66,152.06,122.91,94.54,70.91,54.36,42.54,29.94,7717.82
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.08,65.79,104.96,141.0,194.26,216.2,245.18,271.81,287.48,300.8,305.49,313.33,313.33,311.77,313.33,311.77,305.49,309.42,314.11,310.19,296.87,274.95,270.25,260.84,234.99,222.46,199.74,181.73,169.2,140.21,122.19,105.75,76.76,57.19,45.43,32.9,7670.24
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.81,50.13,83.13,112.96,149.13,164.99,191.65,215.76,234.8,243.04,258.28,266.53,261.45,258.92,262.72,245.58,253.84,243.04,237.34,230.36,219.57,210.68,209.41,193.55,189.74,174.51,173.88,161.82,153.57,131.36,109.15,86.93,67.27,48.86,37.44,27.29,6195.47
10,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86,37.54,61.16,88.4,115.04,137.45,155.0,176.19,192.54,203.44,219.79,232.5,234.32,233.71,235.53,223.42,236.14,224.63,230.69,219.18,220.39,211.92,201.02,197.39,205.86,201.62,202.83,186.48,178.62,170.75,149.56,116.25,77.5,54.49,41.17,28.46,5928.81
11,2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.39,64.57,107.32,143.98,191.96,222.51,260.9,282.72,310.64,315.0,341.18,332.45,335.94,332.45,339.43,334.19,339.43,330.71,332.45,335.07,329.83,314.13,312.39,298.42,288.82,270.5,260.9,239.96,225.12,197.2,155.32,129.14,104.71,70.68,51.48,39.27,8579.21
