,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.85,24.42,41.27,51.73,67.13,81.66,90.39,98.81,106.95,110.43,112.76,113.92,117.99,112.18,114.21,111.01,110.73,112.18,113.63,109.56,110.15,104.62,101.72,97.06,94.16,87.48,80.79,73.52,70.33,56.09,45.34,34.88,26.15,20.06,15.69,11.04,2846.87
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.24,23.28,37.14,49.88,68.73,76.49,86.73,96.16,101.71,106.41,108.08,110.85,110.85,110.29,110.85,110.29,108.08,109.46,111.12,109.73,105.02,97.26,95.61,92.28,83.14,78.7,70.67,64.29,59.86,49.61,43.23,37.41,27.16,20.23,16.08,11.64,2713.55
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,17.88,29.65,40.28,53.18,58.83,68.34,76.94,83.73,86.67,92.09,95.03,93.23,92.32,93.68,87.57,90.51,86.67,84.63,82.14,78.29,75.13,74.68,69.01,67.66,62.22,62.0,57.71,54.76,46.84,38.92,31.0,23.98,17.42,13.35,9.73,2209.18
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,12.73,20.74,29.98,39.02,46.62,52.57,59.76,65.3,69.0,74.54,78.85,79.48,79.27,79.88,75.78,80.09,76.19,78.24,74.34,74.75,71.88,68.18,66.95,69.83,68.39,68.79,63.25,60.58,57.91,50.72,39.43,26.28,18.48,13.97,9.65,2010.85
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21,22.21,36.93,49.54,66.05,76.56,89.77,97.27,106.89,108.38,117.39,114.39,115.59,114.39,116.79,114.99,116.79,113.79,114.39,115.29,113.49,108.09,107.49,102.68,99.38,93.07,89.77,82.57,77.46,67.85,53.44,44.44,36.03,24.32,17.72,13.51,2951.91
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61,25.82,41.68,52.83,69.56,81.59,90.09,102.42,106.53,114.16,117.68,115.04,117.68,117.68,116.8,114.75,115.63,111.22,110.35,110.35,106.23,104.48,99.49,95.08,93.33,84.81,81.0,72.49,66.92,61.34,49.6,38.74,27.59,20.25,14.97,9.98,2875.76
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,24.27,38.84,49.41,67.12,79.11,87.4,95.11,103.97,109.1,108.53,109.39,114.24,112.24,113.1,111.39,111.1,111.39,110.53,114.24,109.67,105.4,101.11,94.54,90.54,82.83,80.54,72.83,68.83,54.84,46.27,34.27,26.27,20.0,14.28,10.57,2799.59
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.62,24.07,40.69,51.0,66.18,80.5,89.1,97.41,105.43,108.87,111.16,112.3,116.31,110.59,112.6,109.44,109.16,110.59,112.01,108.0,108.58,103.13,100.28,95.69,92.82,86.23,79.65,72.48,69.33,55.29,44.7,34.38,25.78,19.77,15.47,10.89,2806.5
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,23.93,38.17,51.27,70.64,78.61,89.15,98.85,104.53,109.38,111.09,113.94,113.94,113.37,113.94,113.37,111.09,112.51,114.23,112.8,107.96,99.98,98.27,94.85,85.46,80.9,72.64,66.08,61.53,50.99,44.44,38.45,27.91,20.79,16.53,11.96,2789.22
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.38,18.23,30.23,41.08,54.22,60.0,69.69,78.45,85.38,88.38,93.92,96.92,95.07,94.15,95.54,89.3,92.3,88.38,86.31,83.77,79.85,76.61,76.15,70.38,69.0,63.46,63.23,58.84,55.84,47.76,39.69,31.61,24.47,17.77,13.61,9.92,2252.9
10,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,13.65,22.24,32.15,41.84,49.97,56.37,64.07,70.02,73.98,79.93,84.55,85.2,84.99,85.64,81.24,85.87,81.68,83.89,79.7,80.14,77.06,73.09,71.78,74.86,73.32,73.76,67.81,64.96,62.09,54.39,42.28,28.18,19.82,14.97,10.34,2155.95
11,2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,23.48,39.03,52.36,69.8,80.91,94.87,102.81,112.96,114.55,124.07,120.89,122.16,120.89,123.43,121.53,123.43,120.26,120.89,121.85,119.95,114.23,113.6,108.51,105.03,98.36,94.87,87.26,81.87,71.72,56.48,46.96,38.08,25.7,18.72,14.28,3119.76
12,2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,25.81,41.64,52.8,69.52,81.53,90.04,102.37,106.47,114.1,117.62,114.98,117.62,117.62,116.73,114.68,115.56,111.16,110.28,110.28,106.17,104.42,99.43,95.03,93.27,84.77,80.95,72.44,66.87,61.3,49.57,38.72,27.57,20.24,14.96,9.97,2874.1
13,2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55,24.68,39.5,50.24,68.25,80.44,88.87,96.7,105.71,110.94,110.36,111.23,116.17,114.13,115.01,113.26,112.97,113.26,112.39,116.17,111.52,107.16,102.81,96.13,92.06,84.23,81.9,74.05,69.99,55.76,47.05,34.85,26.72,20.32,14.52,10.74,2846.64
14,2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74,24.25,40.99,51.38,66.68,81.13,89.78,98.15,106.24,109.71,112.01,113.17,117.21,111.43,113.45,110.28,109.99,111.43,112.88,108.84,109.41,103.93,101.04,96.43,93.54,86.89,80.26,73.04,69.87,55.72,45.03,34.64,25.99,19.92,15.59,10.97,2828.05
15,2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.97,24.4,38.92,52.28,72.04,80.18,90.92,100.8,106.61,111.54,113.29,116.2,116.2,115.62,116.2,115.62,113.29,114.74,116.48,115.03,110.09,101.96,100.21,96.73,87.14,82.49,74.08,67.39,62.74,52.0,45.32,39.22,28.46,21.2,16.85,12.21,2844.42
