,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,30.74,43.96,53.66,63.64,70.12,73.08,79.28,83.86,85.22,85.48,86.29,86.29,89.8,88.18,86.03,85.22,85.48,84.94,87.11,83.6,85.75,81.43,76.05,74.7,72.54,70.65,65.53,63.91,61.75,55.82,49.62,42.33,38.29,32.63,26.16,2454.49
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13,30.84,41.81,51.75,61.15,66.12,72.66,75.79,79.44,82.06,85.2,88.07,86.76,89.9,88.59,86.5,86.5,82.58,83.63,81.54,82.06,78.4,77.36,73.43,75.0,71.35,68.21,64.55,64.55,55.66,53.83,48.08,43.12,36.32,30.84,25.61,2395.38
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,25.55,34.86,45.13,53.73,61.13,66.13,72.59,77.6,77.6,80.7,77.84,80.94,82.13,80.23,79.98,77.84,74.73,76.65,74.49,75.45,70.44,70.91,67.81,65.66,61.84,60.17,56.59,53.73,48.95,47.99,42.02,39.16,32.24,29.37,24.6,2168.5
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,22.6,31.36,37.34,47.5,57.18,60.17,64.79,69.62,69.4,72.85,75.16,75.16,74.7,76.54,77.7,76.77,73.78,74.93,71.7,70.09,69.17,69.17,65.47,68.24,67.78,66.4,62.02,62.71,56.94,53.26,47.27,41.27,35.04,32.05,26.98,2120.8
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.88,28.66,39.47,48.66,61.92,72.46,75.16,78.41,84.35,88.15,91.12,89.23,88.68,88.41,92.2,85.98,88.68,85.71,90.31,85.98,86.52,84.9,77.6,78.41,77.33,74.89,72.19,67.33,66.25,61.65,58.14,48.13,43.8,38.39,30.83,26.23,2481.01
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57,31.81,39.76,47.45,59.38,67.59,73.15,76.34,79.26,81.37,84.56,87.47,84.29,85.35,86.14,85.62,85.08,83.76,86.94,84.56,85.62,87.21,82.97,78.19,77.13,72.63,70.77,62.82,59.9,57.25,54.34,51.95,46.12,37.11,31.81,26.77,2420.02
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.17,31.93,42.39,49.19,62.02,66.47,71.7,75.62,78.76,82.69,87.4,82.42,88.18,86.09,86.09,83.73,86.87,85.57,84.26,80.86,82.17,77.98,81.12,75.1,74.84,68.82,68.04,61.5,59.66,56.0,55.74,47.88,41.87,37.16,28.78,26.96,2382.03
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.76,30.04,42.94,52.42,62.17,68.5,71.39,77.46,81.93,83.25,83.51,84.3,84.3,87.73,86.15,84.04,83.25,83.51,82.98,85.09,81.67,83.78,79.57,74.29,72.97,70.87,69.03,64.02,62.43,60.33,54.53,48.48,41.37,37.41,31.88,25.55,2397.91
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,32.09,43.51,53.84,63.64,68.81,75.6,78.86,82.67,85.38,88.65,91.65,90.28,93.54,92.19,90.01,90.01,85.93,87.02,84.84,85.38,81.58,80.5,76.42,78.04,74.24,70.98,67.17,67.17,57.92,56.02,50.03,44.87,37.79,32.09,26.65,2492.57
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,25.15,34.32,44.42,52.89,60.18,65.11,71.45,76.4,76.4,79.45,76.63,79.69,80.85,78.98,78.74,76.63,73.58,75.45,73.34,74.28,69.34,69.81,66.75,64.64,60.88,59.23,55.71,52.89,48.19,47.24,41.37,38.54,31.73,28.91,24.21,2134.77
10,2022-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54,22.33,30.99,36.91,46.94,56.51,59.47,64.03,68.81,68.58,72.0,74.29,74.29,73.83,75.64,76.79,75.87,72.92,74.06,70.86,69.27,68.36,68.36,64.71,67.45,66.99,65.62,61.3,61.97,56.28,52.64,46.71,40.79,34.64,31.67,26.66,2096.08
11,2022-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,29.22,40.25,49.62,63.13,73.88,76.64,79.94,86.01,89.87,92.9,90.97,90.42,90.14,94.0,87.66,90.42,87.38,92.07,87.66,88.21,86.56,79.11,79.94,78.84,76.35,73.61,68.63,67.53,62.85,59.27,49.07,44.65,39.15,31.43,26.74,2529.46
12,2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.54,31.76,39.7,47.38,59.3,67.5,73.06,76.23,79.15,81.27,84.45,87.36,84.18,85.23,86.03,85.5,84.97,83.65,86.82,84.45,85.5,87.09,82.86,78.09,77.03,72.53,70.68,62.74,59.82,57.17,54.27,51.88,46.06,37.06,31.76,26.74,2416.82
13,2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,33.09,43.95,50.99,64.29,68.89,74.32,78.39,81.65,85.72,90.6,85.45,91.41,89.25,89.25,86.8,90.06,88.7,87.35,83.82,85.17,80.83,84.09,77.85,77.58,71.35,70.53,63.74,61.85,58.05,57.77,49.64,43.4,38.52,29.84,27.94,2469.25
14,2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51,29.72,42.49,51.87,61.52,67.77,70.64,76.63,81.07,82.37,82.63,83.41,83.41,86.8,85.24,83.15,82.37,82.63,82.11,84.19,80.81,82.9,78.72,73.51,72.2,70.12,68.29,63.35,61.77,59.7,53.96,47.96,40.93,37.01,31.54,25.29,2372.6
15,2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,31.54,42.77,52.92,62.56,67.63,74.31,77.52,81.26,83.93,87.14,90.09,88.74,91.96,90.62,88.48,88.48,84.47,85.54,83.4,83.93,80.19,79.12,75.12,76.72,72.98,69.77,66.02,66.02,56.94,55.07,49.18,44.11,37.16,31.54,26.2,2450.21
16,2022-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.31,23.88,32.59,42.18,50.22,57.14,61.82,67.85,72.53,72.53,75.44,72.76,75.66,76.78,74.99,74.77,72.76,69.86,71.64,69.64,70.53,65.84,66.29,63.38,61.38,57.8,56.25,52.89,50.22,45.76,44.86,39.28,36.61,30.13,27.45,22.99,2027.0
17,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16,21.83,30.31,36.11,45.91,55.27,58.17,62.62,67.3,67.08,70.42,72.66,72.66,72.2,73.99,75.1,74.21,71.31,72.43,69.31,67.74,66.85,66.85,63.29,65.96,65.52,64.18,59.95,60.61,55.05,51.48,45.68,39.89,33.88,30.98,26.07,2050.02
18,2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57,29.47,40.59,50.04,63.66,74.5,77.28,80.62,86.73,90.62,93.69,91.73,91.18,90.91,94.8,88.4,91.18,88.13,92.85,88.4,88.95,87.29,79.79,80.62,79.5,77.01,74.23,69.22,68.11,63.38,59.77,49.48,45.03,39.47,31.69,26.97,2550.85
19,2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,32.25,40.31,48.11,60.2,68.52,74.17,77.39,80.35,82.5,85.73,88.68,85.46,86.53,87.34,86.8,86.27,84.92,88.14,85.73,86.8,88.41,84.11,79.28,78.2,73.64,71.75,63.69,60.73,58.05,55.09,52.67,46.76,37.62,32.25,27.14,2453.53
20,2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.44,32.27,42.84,49.72,62.67,67.17,72.46,76.42,79.6,83.57,88.32,83.3,89.13,87.01,87.01,84.62,87.8,86.48,85.16,81.72,83.04,78.81,81.98,75.89,75.63,69.55,68.76,62.15,60.3,56.6,56.33,48.4,42.31,37.55,29.09,27.24,2407.33
21,2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36,29.55,42.26,51.59,61.18,67.4,70.25,76.21,80.62,81.92,82.17,82.95,82.95,86.33,84.76,82.7,81.92,82.17,81.65,83.73,80.36,82.43,78.29,73.1,71.81,69.73,67.92,62.99,61.43,59.37,53.66,47.7,40.7,36.81,31.37,25.14,2359.49
22,2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.98,29.47,39.96,49.44,58.44,63.19,69.43,72.43,75.92,78.42,81.42,84.16,82.91,85.91,84.67,82.66,82.66,78.92,79.92,77.91,78.42,74.93,73.92,70.18,71.67,68.17,65.18,61.68,61.68,53.2,51.44,45.95,41.21,34.71,29.47,24.48,2289.11
23,2022-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.96,23.47,32.02,41.45,49.35,56.15,60.75,66.67,71.28,71.28,74.13,71.5,74.35,75.45,73.69,73.48,71.5,68.65,70.41,68.43,69.31,64.7,65.14,62.29,60.31,56.81,55.27,51.98,49.35,44.96,44.08,38.6,35.97,29.61,26.97,22.59,1991.89
24,2022-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,21.13,29.31,34.92,44.41,53.46,56.27,60.57,65.1,64.89,68.12,70.28,70.28,69.84,71.57,72.65,71.79,68.98,70.06,67.04,65.54,64.67,64.67,61.22,63.81,63.38,62.08,57.98,58.64,53.25,49.8,44.19,38.58,32.77,29.96,25.23,1983.03
