,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,15.85,26.29,35.72,47.16,52.18,60.6,68.23,74.25,76.86,81.68,84.28,82.68,81.87,83.08,77.67,80.27,76.86,75.05,72.84,69.43,66.63,66.23,61.21,60.0,55.19,54.98,51.17,48.56,41.54,34.51,27.5,21.27,15.45,11.84,8.63,1959.2
1,2022-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,11.29,18.39,26.59,34.61,41.35,46.63,53.0,57.91,61.2,66.11,69.94,70.48,70.29,70.85,67.2,71.03,67.57,69.39,65.92,66.29,63.74,60.46,59.37,61.92,60.65,61.01,56.09,53.72,51.35,44.98,34.96,23.31,16.39,12.39,8.56,1783.3
2,2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72,19.7,32.75,43.93,58.57,67.9,79.61,86.27,94.79,96.12,104.11,101.44,102.51,101.44,103.57,101.97,103.57,100.92,101.44,102.25,100.65,95.85,95.32,91.06,88.13,82.54,79.61,73.22,68.69,60.17,47.4,39.4,31.95,21.56,15.71,11.98,2617.84
3,2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,22.9,36.96,46.85,61.68,72.35,79.9,90.83,94.48,101.25,104.37,102.02,104.37,104.37,103.58,101.77,102.54,98.64,97.86,97.86,94.22,92.66,88.23,84.33,82.77,75.22,71.83,64.28,59.35,54.4,43.98,34.35,24.46,17.96,13.27,8.85,2550.36
4,2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44,21.53,34.45,43.82,59.52,70.17,77.51,84.35,92.2,96.75,96.25,97.01,101.32,99.55,100.31,98.79,98.53,98.79,98.03,101.32,97.26,93.47,89.66,83.84,80.3,73.45,71.43,64.59,61.04,48.64,41.04,30.39,23.3,17.73,12.66,9.38,2482.82
5,2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94,21.65,36.59,45.87,59.54,72.42,80.16,87.63,94.84,97.94,100.0,101.03,104.63,99.48,101.29,98.45,98.19,99.48,100.77,97.16,97.68,92.78,90.2,86.08,83.5,77.57,71.64,65.2,62.37,49.74,40.21,30.93,23.19,17.78,13.91,9.79,2524.64
6,2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51,20.64,32.93,44.23,60.94,67.83,76.92,85.28,90.2,94.37,95.84,98.3,98.3,97.81,98.3,97.81,95.84,97.08,98.55,97.32,93.15,86.26,84.78,81.84,73.73,69.8,62.67,57.01,53.08,43.99,38.34,33.17,24.08,17.95,14.26,10.33,2406.48
7,2022-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.87,16.17,26.81,36.43,48.09,53.21,61.8,69.58,75.72,78.38,83.29,85.95,84.31,83.49,84.72,79.2,81.85,78.38,76.54,74.29,70.8,67.95,67.54,62.42,61.19,56.28,56.08,52.19,49.52,42.37,35.2,28.04,21.69,15.76,12.07,8.8,1997.99
8,2022-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,12.11,19.72,28.51,37.1,44.33,49.98,56.82,62.09,65.61,70.88,74.98,75.56,75.37,75.95,72.05,76.15,72.44,74.39,70.68,71.07,68.34,64.82,63.66,66.38,65.02,65.41,60.13,57.6,55.06,48.23,37.49,25.0,17.57,13.27,9.18,1911.94
9,2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38,20.82,34.61,46.43,61.91,71.76,84.13,91.17,100.17,101.59,110.03,107.21,108.34,107.21,109.46,107.77,109.46,106.65,107.21,108.06,106.37,101.3,100.74,96.24,93.14,87.24,84.13,77.38,72.6,63.6,50.09,41.65,33.77,22.79,16.6,12.66,2766.67
