,Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,total
0,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.71,48.82,82.54,103.46,134.27,163.33,180.76,197.62,213.89,220.86,225.52,227.84,235.98,224.35,228.43,222.03,221.44,224.35,227.26,219.13,220.28,209.24,203.43,194.13,188.32,174.95,161.58,147.05,140.65,112.18,90.67,69.75,52.31,40.1,31.39,22.09,5693.72
1,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.49,46.55,74.26,99.76,137.45,152.97,173.48,192.32,203.4,212.83,216.15,221.69,221.69,220.58,221.69,220.58,216.15,218.92,222.24,219.48,210.05,194.54,191.21,184.56,166.26,157.4,141.32,128.58,119.71,99.2,86.46,74.82,54.32,40.46,32.14,23.28,5426.98
2,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,35.75,59.28,80.55,106.35,117.67,136.67,153.87,167.45,173.33,184.19,190.08,186.45,184.65,187.36,175.14,181.03,173.33,169.26,164.28,156.59,150.25,149.34,138.03,135.32,124.46,124.0,115.4,109.52,93.68,77.84,62.0,47.97,34.85,26.7,19.46,4418.36
3,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.89,25.47,41.48,59.96,78.04,93.23,105.15,119.51,130.6,138.0,149.09,157.72,158.94,158.53,159.77,151.56,160.18,152.37,156.48,148.68,149.5,143.75,136.35,133.89,139.64,136.77,137.59,126.5,121.16,115.82,101.45,78.85,52.57,36.97,27.93,19.3,4021.67
4,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.42,44.44,73.86,99.07,132.1,153.12,179.54,194.55,213.76,216.77,234.78,228.77,231.17,228.77,233.58,229.97,233.58,227.57,228.77,230.57,226.97,216.17,214.96,205.36,198.75,186.15,179.54,165.12,154.92,135.7,106.89,88.87,72.06,48.64,35.43,27.02,5903.74
5,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.22,51.65,83.35,105.65,139.1,163.17,180.2,204.85,213.06,228.32,235.37,230.09,235.37,235.37,233.61,229.5,231.26,222.46,220.69,220.69,212.48,208.96,198.98,190.18,186.65,169.63,162.0,144.98,133.82,122.67,99.19,77.47,55.17,40.5,29.93,19.96,5751.55
6,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.56,48.56,77.69,98.83,134.24,158.23,174.8,190.23,207.93,218.21,217.07,218.78,228.5,224.5,226.21,222.78,222.21,222.78,221.07,228.5,219.36,210.79,202.21,189.08,181.08,165.66,161.09,145.67,137.67,109.67,92.54,68.54,52.56,39.99,28.56,21.14,5599.28
7,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.23,48.13,81.36,101.99,132.36,161.01,178.2,194.81,210.86,217.73,222.31,224.61,232.63,221.17,225.18,218.88,218.3,221.17,224.04,216.02,217.16,206.28,200.54,191.37,185.65,172.47,159.29,144.96,138.66,110.58,89.38,68.76,51.57,39.53,30.94,21.77,5612.92
8,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.33,47.85,76.34,102.54,141.28,157.24,178.32,197.68,209.08,218.76,222.17,227.87,227.87,226.74,227.87,226.74,222.17,225.02,228.44,225.6,215.91,199.96,196.54,189.7,170.9,161.79,145.27,132.17,123.05,101.97,88.87,76.91,55.83,41.59,33.04,23.93,5578.36
9,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,36.46,60.46,82.15,108.46,119.99,139.38,156.92,170.76,176.77,187.84,193.84,190.15,188.3,191.07,178.61,184.61,176.77,172.61,167.53,159.68,153.22,152.3,140.76,137.99,126.91,126.45,117.69,111.69,95.54,79.39,63.23,48.92,35.54,27.23,19.85,4505.8
