,Date,Year,Month,Week,Day,Skill,Combi,Interval 15 Minutes,Skill Name,Handle Time,Avg Handle Time,Handled,Queue Offered,Outbound Handled,Outbound,In SLA,Outbound Handle Time,Outbound Time,Outbound ACW Time,Talk Time,Abandons,Short Abandons
0,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,15:15-15:30,Photo Email Inbound,1018.89,1018.89,1.0,1.0,,,1.0,,,,1018.89,,
1,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,15:15-15:30,Photo Voice,1747.48,582.49,3.0,3.0,,,3.0,,,,1721.52,,
2,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,15:30-15:45,OB Photo,180.43,90.21,2.0,,2.0,2.0,,180.43,184.31,,180.43,,
3,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,15:30-15:45,Photo Chat,200.44,200.44,1.0,1.0,,,1.0,,,,195.51,,
4,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,15:30-15:45,Photo Email Inbound,83.52,83.52,1.0,1.0,,,1.0,,,,83.52,,
5,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,15:30-15:45,Photo Voice,1512.49,378.12,4.0,4.0,,,4.0,,,,1482.99,,
6,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,15:45-16:00,OB Photo,89.86,44.93,2.0,,2.0,2.0,,89.86,90.29,,89.86,,
7,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,15:45-16:00,Photo Chat,1151.89,383.96,3.0,3.0,,,3.0,,,,978.39,,
8,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,16:00-16:15,Photo Email Inbound,573.79,573.79,1.0,1.0,,,1.0,,,,573.79,,
9,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,15:45-16:00,Photo Voice,460.16,153.39,3.0,3.0,,,3.0,,,,430.15,,
10,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,16:00-16:15,Photo Chat,725.34,362.67,2.0,2.0,,,2.0,,,,708.81,,
11,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,16:00-16:15,Photo Voice,1187.73,395.91,3.0,3.0,,,3.0,,,,1163.83,,
12,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,16:15-16:30,OB Photo,2.0,2.0,1.0,,1.0,1.0,,2.0,2.1,,2.0,,
13,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,16:15-16:30,Photo Email Inbound,530.97,265.48,2.0,2.0,,,2.0,,,,530.97,,
14,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,16:30-16:45,Photo Chat,1583.66,791.83,2.0,2.0,,,2.0,,,,1569.35,,
15,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,16:15-16:30,Photo Voice,1336.6,267.32,5.0,5.0,,,5.0,,0.19,,1294.87,,
16,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,15:45-16:00,Photo Email Inbound,458.26,229.13,2.0,2.0,,,2.0,,,,458.26,,
17,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,15:15-15:30,Photo Chat,2507.59,835.86,3.0,3.0,,,3.0,,,,2471.06,,
