Date,Voice,Chat,Email,Offline,Outbound
01-01-2022,143,145,217,253,67
02-01-2022,146,136,249,254,55
03-01-2022,121,143,219,244,48
04-01-2022,146,144,235,270,49
05-01-2022,144,142,225,266,69
06-01-2022,128,143,238,268,60
07-01-2022,146,135,225,257,57
08-01-2022,144,151,243,265,66
09-01-2022,136,150,250,254,53
10-01-2022,136,162,210,243,45
11-01-2022,143,157,242,279,50
12-01-2022,138,157,235,258,61
13-01-2022,131,144,235,273,49
14-01-2022,147,165,215,251,69
15-01-2022,127,161,225,273,67
16-01-2022,131,142,210,274,58
17-01-2022,120,167,214,272,56
18-01-2022,135,137,246,247,61
19-01-2022,150,152,232,246,55
20-01-2022,128,165,249,274,46
21-01-2022,128,139,225,275,62
22-01-2022,141,168,224,273,46
23-01-2022,146,137,228,251,53
24-01-2022,139,157,249,263,54
25-01-2022,149,164,220,256,60
26-01-2022,127,164,210,245,70
27-01-2022,120,166,250,263,59
28-01-2022,128,158,218,277,46
29-01-2022,148,140,239,276,58
30-01-2022,126,138,231,248,46
31-01-2022,139,149,223,263,70
01-02-2022,132,168,232,259,50
02-02-2022,124,136,240,258,50
03-02-2022,126,160,215,263,53
04-02-2022,144,143,210,249,67
05-02-2022,147,145,246,255,70
06-02-2022,125,149,233,258,51
07-02-2022,127,141,246,262,60
08-02-2022,123,136,249,245,48
09-02-2022,127,161,226,269,63
10-02-2022,146,159,247,256,64
11-02-2022,129,141,234,250,56
12-02-2022,142,142,220,255,50
13-02-2022,142,159,226,255,65
14-02-2022,123,168,249,256,69
15-02-2022,143,154,225,254,46
16-02-2022,135,141,247,243,67
17-02-2022,145,169,230,249,49
18-02-2022,124,162,248,275,49
19-02-2022,147,137,228,268,58
20-02-2022,140,142,238,279,47
21-02-2022,125,153,233,264,57
22-02-2022,147,141,226,261,55
23-02-2022,126,164,218,258,67
24-02-2022,123,155,246,280,54
25-02-2022,137,147,250,280,48
26-02-2022,123,138,246,270,55
27-02-2022,143,164,211,264,54
28-02-2022,148,146,237,266,46
01-03-2022,144,140,215,275,66
02-03-2022,134,140,243,254,49
03-03-2022,142,151,248,250,53
04-03-2022,136,144,233,277,57
05-03-2022,126,143,241,265,69
06-03-2022,145,144,246,277,47
07-03-2022,134,150,234,279,48
08-03-2022,147,163,240,242,50
09-03-2022,140,167,234,243,47
10-03-2022,120,164,239,256,47
11-03-2022,122,138,213,250,48
12-03-2022,127,148,245,279,58
13-03-2022,143,166,242,240,60
14-03-2022,125,151,240,275,55
