Date,Voice,Chat,Email,Offline,Outbound
01-05-2022,136,159,222,246,58
02-05-2022,122,157,223,265,52
03-05-2022,124,162,240,268,69
04-05-2022,125,163,242,279,54
05-05-2022,129,165,237,264,66
06-05-2022,137,158,217,276,62
07-05-2022,148,142,230,275,49
08-05-2022,141,144,236,253,62
09-05-2022,133,136,243,265,49
10-05-2022,128,150,213,269,52
11-05-2022,127,136,221,278,60
12-05-2022,131,164,241,254,55
13-05-2022,130,162,225,271,49
14-05-2022,138,165,222,263,65
15-05-2022,143,150,249,243,47
16-05-2022,129,142,250,277,68
17-05-2022,149,138,237,267,69
18-05-2022,144,140,239,261,57
19-05-2022,134,158,235,272,64
20-05-2022,149,142,249,254,49
21-05-2022,149,154,232,258,50
22-05-2022,138,153,211,276,69
23-05-2022,133,150,232,275,69
24-05-2022,126,150,239,254,48
25-05-2022,136,147,232,275,56
26-05-2022,150,137,213,249,61
27-05-2022,137,139,232,258,50
28-05-2022,143,140,221,257,64
29-05-2022,149,153,241,253,46
30-05-2022,130,139,235,274,57
31-05-2022,125,155,221,279,65
01-06-2022,140,135,220,257,60
02-06-2022,145,151,223,279,68
03-06-2022,145,139,220,242,62
04-06-2022,136,141,240,268,57
05-06-2022,128,144,216,271,49
06-06-2022,137,169,219,268,66
07-06-2022,134,165,224,280,52
08-06-2022,133,142,244,246,69
09-06-2022,140,168,244,261,46
10-06-2022,132,138,234,274,51
11-06-2022,122,168,211,241,66
12-06-2022,143,167,248,279,46
13-06-2022,147,144,241,253,65
14-06-2022,142,151,215,256,47
15-06-2022,123,138,250,274,66
16-06-2022,125,169,240,274,50
17-06-2022,126,156,228,268,66
18-06-2022,123,170,245,262,66
19-06-2022,124,139,236,267,57
20-06-2022,121,141,231,259,54
21-06-2022,129,137,248,243,68
22-06-2022,128,153,242,262,57
23-06-2022,139,170,234,276,67
24-06-2022,120,154,244,251,57
25-06-2022,125,136,244,267,64
26-06-2022,136,157,224,263,60
27-06-2022,124,156,220,275,68
28-06-2022,133,138,217,268,49
29-06-2022,120,148,250,251,48
30-06-2022,142,163,223,248,50
01-07-2022,134,151,247,279,52
02-07-2022,139,154,238,263,58
03-07-2022,125,162,224,277,63
04-07-2022,125,138,217,254,70
05-07-2022,124,144,236,262,47
06-07-2022,139,148,221,254,58
07-07-2022,135,148,249,274,69
08-07-2022,130,139,226,248,48
09-07-2022,129,166,245,251,52
10-07-2022,150,138,231,280,48
11-07-2022,129,142,217,244,70
12-07-2022,129,140,223,261,65
13-07-2022,132,141,213,246,49
14-07-2022,123,149,248,260,52
15-07-2022,150,158,227,268,54
16-07-2022,140,161,236,278,65
17-07-2022,133,149,242,248,67
18-07-2022,136,165,212,276,61
19-07-2022,140,142,241,262,50
20-07-2022,139,135,226,279,59
