Date,Voice,Chat,Email,Offline,Outbound
01-01-2016,15966,22822,60947,10377,8180
01-02-2016,15550,22307,60869,9382,7708
01-03-2016,17233,23077,59858,11192,8475
01-04-2016,17136,21875,59254,11376,8258
01-05-2016,16480,21224,59520,9111,8070
01-06-2016,17156,22134,59038,9231,8329
01-07-2016,17879,24834,59257,9487,7890
01-08-2016,17307,22865,59712,11071,7946
01-09-2016,16992,21103,57853,10579,8276
01-10-2016,15569,23535,57124,9584,7717
01-11-2016,16739,22114,57569,9805,7565
01-12-2016,15584,21397,60801,11408,7347
01-01-2017,16741,22694,57908,9436,8409
01-02-2017,16429,23734,58882,10539,7051
01-03-2017,17890,22647,58596,11283,7358
01-04-2017,15522,22005,60975,10656,8618
01-05-2017,17017,24574,60333,9605,8169
01-06-2017,17694,21035,58239,9474,7033
01-07-2017,16423,22977,60546,9566,7786
01-08-2017,15813,23883,60311,9408,8508
01-09-2017,15407,22216,57933,9627,7921
01-10-2017,15533,21561,57235,9173,7022
01-11-2017,17998,24689,57348,9302,7697
01-12-2017,17777,24327,59864,10250,7158
01-01-2018,16102,23091,60487,11255,8086
01-02-2018,16983,22909,60457,10124,7549
01-03-2018,15813,22860,60301,11251,7428
01-04-2018,16823,23628,57934,10046,8655
01-05-2018,15463,23757,59919,10177,8374
01-06-2018,15080,23392,59816,9029,8766
01-07-2018,15466,24110,58404,9956,8037
01-08-2018,15346,21382,57797,10502,8647
01-09-2018,16538,23136,59810,9217,8458
01-10-2018,16387,21341,59412,9935,7281
01-11-2018,16989,21477,57368,11129,8614
01-12-2018,16281,22505,60747,10587,8357
01-01-2019,17208,21867,60225,9573,8315
01-02-2019,17678,21484,60700,11054,7802
01-03-2019,15755,24987,57447,10350,7254
01-04-2019,16160,24757,57398,10589,7295
01-05-2019,15075,23779,57469,9418,8241
01-06-2019,16470,24989,59555,11486,8345
01-07-2019,17367,22246,59752,9708,7703
01-08-2019,16363,24101,58588,11355,8777
01-09-2019,15539,22769,59028,10204,8489
01-10-2019,15619,23594,60579,10472,8782
01-11-2019,17900,22549,59814,11163,8504
01-12-2019,15041,22558,57394,11492,7969
01-01-2020,16630,22495,58480,10530,8443
01-02-2020,17461,24463,59144,10832,8375
01-03-2020,15782,21340,58169,9611,8026
01-04-2020,15280,23957,57802,10109,7081
01-05-2020,17042,23535,58520,9654,8642
01-06-2020,15775,22539,57800,9740,7460
01-07-2020,15924,23299,59670,10601,7486
01-08-2020,16268,24292,59030,10534,8004
01-09-2020,16843,24915,57730,9517,7398
01-10-2020,16579,22394,59675,10024,7372
01-11-2020,16665,24061,59764,10138,8142
01-12-2020,17600,24959,59801,10317,7455
01-01-2021,15075,22584,60825,9428,7222
01-02-2021,17597,24113,58644,10928,8779
01-03-2021,15972,22450,58946,11088,7143
01-04-2021,17105,24136,57206,10479,7210
01-05-2021,17472,24057,58572,9956,7819
01-06-2021,16459,23068,58769,9874,8578
01-07-2021,16286,24920,60791,9770,8592
01-08-2021,15653,21866,60610,9421,7698
01-09-2021,17299,22409,57800,11134,7502
01-10-2021,15066,24418,58397,11429,8799
01-11-2021,16310,21774,57326,10711,7056
01-12-2021,17838,22408,58753,11106,7864
01-01-2022,16608,24678,58890,11013,8549
01-02-2022,15576,22995,58606,11391,8057
01-03-2022,16566,22289,57624,10468,8613
01-04-2022,16727,23274,58768,9471,7969
