"Date","Offered","Predicted Value"
"01-01-2016","217","0"
"02-01-2016","200","0"
"03-01-2016","216","0"
"04-01-2016","155","0"
"05-01-2016","37","0"
"06-01-2016","315","0"
"07-01-2016","252","0"
"08-01-2016","213","0"
"09-01-2016","219","0"
"10-01-2016","371","0"
"11-01-2016","166","0"
"12-01-2016","32","0"
"13-01-2016","231","0"
"14-01-2016","205","0"
"15-01-2016","338","0"
"16-01-2016","180","0"
"17-01-2016","226","0"
"18-01-2016","226","0"
"19-01-2016","45","0"
"20-01-2016","218","0"
"21-01-2016","187","0"
"22-01-2016","191","0"
"23-01-2016","188","0"
"24-01-2016","154","0"
"25-01-2016","166","0"
"26-01-2016","58","0"
"27-01-2016","160","0"
"28-01-2016","86","0"
"29-01-2016","180","0"
"30-01-2016","210","0"
"31-01-2016","163","0"
"01-02-2016","143","0"
"02-02-2016","57","0"
"03-02-2016","179","0"
"04-02-2016","194","0"
"05-02-2016","201","0"
"06-02-2016","218","0"
"07-02-2016","194","0"
"08-02-2016","227","0"
"09-02-2016","52","0"
"10-02-2016","385","0"
"11-02-2016","137","0"
"12-02-2016","254","0"
"13-02-2016","211","0"
"14-02-2016","282","0"
"15-02-2016","262","0"
"16-02-2016","65","0"
"17-02-2016","325","0"
"18-02-2016","235","0"
"19-02-2016","215","0"
"20-02-2016","85","0"
"21-02-2016","195","0"
"22-02-2016","188","0"
"23-02-2016","58","0"
"24-02-2016","251","0"
"25-02-2016","181","0"
"26-02-2016","228","0"
"27-02-2016","165","0"
"28-02-2016","185","0"
"29-02-2016","172","0"
"01-03-2016","57","0"
"02-03-2016","200","0"
"03-03-2016","202","0"
"04-03-2016","217","0"
"05-03-2016","225","0"
"06-03-2016","235","0"
"07-03-2016","202","0"
"08-03-2016","43","0"
"09-03-2016","194","0"
"10-03-2016","202","0"
"11-03-2016","146","0"
"12-03-2016","147","0"
"13-03-2016","155","0"
"14-03-2016","157","0"
"15-03-2016","38","0"
"16-03-2016","166","0"
"17-03-2016","226","0"
"18-03-2016","253","0"
"19-03-2016","134","0"
"20-03-2016","70","0"
"21-03-2016","83","0"
"22-03-2016","42","0"
"23-03-2016","66","0"
"24-03-2016","153","0"
"25-03-2016","141","0"
"26-03-2016","146","0"
"27-03-2016","144","0"
"28-03-2016","105","0"
"29-03-2016","36","0"
"30-03-2016","61","0"
"31-03-2016","60","0"
"01-04-2016","18","0"
"02-04-2016","206","0"
"03-04-2016","194","0"
"04-04-2016","206","0"
"05-04-2016","53","0"
"06-04-2016","147","0"
"07-04-2016","201","0"
"08-04-2016","202","0"
"09-04-2016","226","0"
"10-04-2016","167","0"
"11-04-2016","164","0"
"12-04-2016","42","0"
"13-04-2016","79","0"
"14-04-2016","165","0"
"15-04-2016","180","0"
"16-04-2016","179","0"
"17-04-2016","217","0"
"18-04-2016","171","0"
"19-04-2016","37","0"
"20-04-2016","215","0"
"21-04-2016","218","0"
"22-04-2016","205","0"
"23-04-2016","195","0"
"24-04-2016","181","0"
"25-04-2016","212","0"
"26-04-2016","33","0"
"27-04-2016","298","0"
"28-04-2016","158","0"
"29-04-2016","156","0"
"30-04-2016","163","0"
"01-05-2016","98","0"
"02-05-2016","255","0"
"03-05-2016","50","0"
"04-05-2016","290","0"
"05-05-2016","296","0"
"06-05-2016","260","0"
"07-05-2016","201","0"
"08-05-2016","132","0"
"09-05-2016","167","0"
"10-05-2016","85","0"
"11-05-2016","244","0"
"12-05-2016","186","0"
"13-05-2016","278","0"
"14-05-2016","272","0"
"15-05-2016","218","0"
"16-05-2016","152","0"
"17-05-2016","48","0"
"18-05-2016","186","0"
"19-05-2016","182","0"
"20-05-2016","192","0"
"21-05-2016","155","0"
"22-05-2016","144","0"
"23-05-2016","164","0"
"24-05-2016","27","0"
"25-05-2016","177","0"
"26-05-2016","134","0"
"27-05-2016","125","0"
"28-05-2016","167","0"
"29-05-2016","169","0"
"30-05-2016","162","0"
"31-05-2016","25","0"
"01-06-2016","157","0"
"02-06-2016","166","0"
"03-06-2016","58","0"
"04-06-2016","75","0"
"05-06-2016","28","0"
"06-06-2016","108","0"
"07-06-2016","21","0"
"08-06-2016","189","0"
"09-06-2016","161","0"
"10-06-2016","155","0"
"11-06-2016","161","0"
"12-06-2016","132","0"
"13-06-2016","122","0"
"14-06-2016","17","0"
"15-06-2016","45","0"
"16-06-2016","177","0"
"17-06-2016","133","0"
"18-06-2016","177","0"
"19-06-2016","127","0"
"20-06-2016","148","0"
"21-06-2016","23","0"
"22-06-2016","141","0"
"23-06-2016","124","0"
"24-06-2016","165","0"
"25-06-2016","168","0"
"26-06-2016","198","0"
"27-06-2016","139","0"
"28-06-2016","46","0"
"29-06-2016","184","0"
"30-06-2016","207","0"
"01-07-2016","191","0"
"02-07-2016","213","0"
"03-07-2016","483","0"
"04-07-2016","547","0"
"05-07-2016","54","0"
"06-07-2016","275","0"
"07-07-2016","0","164"
"08-07-2016","0","172"
"09-07-2016","0","164"
"10-07-2016","0","171"
"11-07-2016","0","167"
"12-07-2016","0","27"
