date,sales
2013-01-01,12
2013-01-02,16
2013-01-03,16
2013-01-04,20
2013-01-05,16
2013-01-06,18
2013-01-07,12
2013-01-08,11
2013-01-09,16
2013-01-10,10
2013-01-11,15
2013-01-12,22
2013-01-13,30
2013-01-14,14
2013-01-15,17
2013-01-16,14
2013-01-17,14
2013-01-18,12
2013-01-19,18
2013-01-20,24
2013-01-21,13
2013-01-22,11
2013-01-23,19
2013-01-24,14
2013-01-25,17
2013-01-26,14
2013-01-27,12
2013-01-28,15
2013-01-29,18
2013-01-30,10
2013-01-31,16
2013-02-01,16
2013-02-02,23
2013-02-03,14
2013-02-04,18
2013-02-05,16
2013-02-06,12
2013-02-07,19
2013-02-08,13
2013-02-09,15
2013-02-10,21
2013-02-11,11
2013-02-12,14
2013-02-13,19
2013-02-14,14
2013-02-15,17
2013-02-16,25
2013-02-17,26
2013-02-18,13
2013-02-19,22
2013-02-20,21
2013-02-21,9
2013-02-22,21
2013-02-23,15
2013-02-24,20
2013-02-25,17
2013-02-26,16
2013-02-27,11
2013-02-28,22
2013-03-01,27
2013-03-02,23
2013-03-03,29
2013-03-04,25
2013-03-05,13
2013-03-06,21
2013-03-07,19
2013-03-08,20
2013-03-09,31
2013-03-10,32
2013-03-11,17
2013-03-12,20
2013-03-13,22
2013-03-14,17
2013-03-15,17
2013-03-16,23
2013-03-17,20
2013-03-18,12
2013-03-19,17
2013-03-20,20
2013-03-21,25
2013-03-22,28
2013-03-23,30
2013-03-24,30
2013-03-25,17
2013-03-26,23
2013-03-27,17
2013-03-28,21
2013-03-29,21
2013-03-30,26
2013-03-31,23
2013-04-01,16
2013-04-02,29
2013-04-03,34
2013-04-04,30
2013-04-05,23
2013-04-06,28
2013-04-07,32
2013-04-08,15
2013-04-09,23
2013-04-10,16
2013-04-11,26
2013-04-12,22
2013-04-13,26
